Taxon	18_DCM	23_DCM	25_DCM	30_DCM	32_DCM	34_DCM	36_DCM	38_DCM	39_DCM	41_DCM	42_DCM	52_DCM	64_DCM	65_DCM	66_DCM	68_DCM	72_DCM	76_DCM	109_DCM
AACY020555882	0.000992020703040759	7.53522718709969e-05	3.09514474960279e-05	0	0.000188584360070405	3.48347093043509e-05	0.00630927423380254	0.000268964486726105	0.00134960355395603	0.00247615553925165	0.00019403774916211	0.000237311569454906	0.000316108518194834	0.00011590619325426	0.000532859680284192	3.56125356125356e-05	0.000120218798212747	1.4683856568089e-05	0.00364977674238012
AACY020556376	0.00193228380418374	0.00103609373822621	0.000330148773290964	0.0022932728551247	7.07191350264018e-05	0	0.000339422980932415	0.000159386362504358	0.000463926221672384	7.86081123571953e-05	3.52795907567472e-05	9.2861048917137e-05	3.0991031195572e-05	0.000186737755798529	0.000177619893428064	0	0.000100182331843956	2.93677131361781e-05	0.00152721154468388
AACY020562322	0.00129394004744447	0.000753522718709969	4.12685966613705e-05	6.33500788708482e-05	0.000345737993462409	1.74173546521754e-05	0.0210641908755116	0.00323753548836978	0.00341618399595119	0.00151975683890578	0.000405715293702593	0.00212548623077002	0.000787172192367529	0.000869296449406947	0.000304491245876681	0	0.000641166923801318	0.000572670406155473	0.00619944347375914
AACY020563509	0.000974768169074833	0.000621656242935725	0.000165074386645482	0.000456120567870107	3.14307266784008e-05	0	0.000119796346211441	0.000119539771878269	4.21751110611258e-05	2.62027041190651e-05	3.52795907567472e-05	0.000484941033233938	0.000663208067585241	0.000347718579762779	0.000532859680284192	0.00073005698005698	0.000480875192850989	0.000249625561657514	0.00324856015013266
AACY020564058	0.000155272805693336	7.53522718709969e-05	7.22200441573984e-05	0.000316750394354241	0.00142224038219764	0.00337896680252203	0	1.99232953130448e-05	1.40583703537086e-05	0.00158526359920344	0.00349267948491797	0.000392079984316801	0.000272721074521034	0.000386353977514199	0.000152245622938341	0.00178062678062678	0.00412751207197099	0.00165927579219406	0
AACY020564593	0.00508087125296528	0.00192148293271042	0.00164042671728948	0.00681646848650327	0.00159510937892884	0.000156756191869579	0.00141759009683538	0.00297853264930019	0.00224933925659338	0.00102190546064354	0.00142882342564826	0.00656218079014435	0.00257845379547159	0.00180942446135816	0.003577772139051	0.00268874643874644	0.0034262357490633	0.00218789462864527	0.00364977674238012
AACY020565564	0.000207030407591115	0.0011114460100972	0.00505540309101789	0.000190050236612545	0.00747265526778979	0.00416274776186993	0.000688828990715783	0.00783981670568312	0.00314907495923073	0.00538465569646788	0.00940201093667313	0.000877021017550738	0.0051631057971823	0.00835168514726526	0.00763765541740675	0.00487891737891738	0.00687250796449538	0.00205573991953247	0
AACY023403887	0.000621091222773345	0.000150704543741994	0.000371417369952335	0.00100726625404649	0.000683618305255217	0.000400599157000035	0.000139762403913347	0.000368580963291328	0.000927852443344767	0.000432344617964574	0.000352795907567472	0.000835749440254233	0.00030991031195572	0.000470064005975608	0.000152245622938341	0.000231481481481481	0.00102185978480835	0.000205573991953247	0.00073772083090662
AACY023936572	0.000319171878369636	7.53522718709969e-05	9.28543424880837e-05	0.000278740347031732	0.000275018858436007	1.74173546521754e-05	0.000569032644504343	0.000109578124221746	0.000421751110611258	0.000235824337071586	0.00019403774916211	0.00030953682972379	0.000161153362216974	0.000251130085384229	5.07485409794468e-05	5.34188034188034e-05	0.000280510529163077	0.000176206278817069	0.00034944670937682
AACY023938218	0.00202717274099633	0.000810036922613217	0.00824340218310876	0.000589155733498888	0.00880846115162183	0.000452851220956561	0.000878506538883897	0.00123524430940878	0.00157453747961536	0.00159836495126297	0.00326336214499912	0.00204294307617701	0.00397305019927233	0.00468776159383894	0.00116721644252728	0.00073005698005698	0.00565028351599912	0.00625532289800593	0.00050475635798874
