"Var1"	"Var2"	"weight"
"175"	"ph_3493"	"AACY020255495"	0.889635473833785
"176"	"ph_3541"	"AACY020255495"	0.835182152990403
"177"	"ph_3892"	"AACY020255495"	0.908301022930668
"178"	"ph_4194"	"AACY020255495"	0.874702742381538
"179"	"ph_4602"	"AACY020255495"	0.897931079539096
"180"	"ph_4678"	"AACY020255495"	0.873829529890359
"181"	"ph_484"	"AACY020255495"	0.87992388850941
"182"	"ph_4993"	"AACY020255495"	0.870860217950178
"183"	"ph_4999"	"AACY020255495"	0.858606530043193
"184"	"ph_5001"	"AACY020255495"	0.867714859942309
"185"	"ph_5010"	"AACY020255495"	0.823326728070635
"186"	"ph_5286"	"AACY020255495"	0.873387490261711
"187"	"ph_5287"	"AACY020255495"	0.847904056796561
"188"	"ph_5302"	"AACY020255495"	0.870464503952007
"189"	"ph_5321"	"AACY020255495"	0.873564644698113
"190"	"ph_5643"	"AACY020255495"	0.875365323283628
"191"	"ph_6441"	"AACY020255495"	0.848416419682482
"192"	"ph_654"	"AACY020255495"	0.835263573996093
"193"	"ph_6954"	"AACY020255495"	0.893699101205152
"194"	"ph_7389"	"AACY020255495"	0.860014122049322
"195"	"ph_7920"	"AACY020255495"	0.876710805993637
"196"	"ph_8039"	"AACY020255495"	0.870636585927923
"197"	"ph_8695"	"AACY020255495"	0.868112463134419
"198"	"ph_987"	"AACY020255495"	0.810425753241271
"199"	"ph_1487"	"AACY020276549"	0.847886426517791
"200"	"ph_27069"	"AACY020276549"	0.87556519579354
"201"	"ph_119"	"AACY020281370"	0.877423181119714
"202"	"ph_159"	"AACY020281370"	0.88516170727557
"203"	"ph_165"	"AACY020281370"	0.822772399841048
"204"	"ph_181"	"AACY020281370"	0.878858800183675
"205"	"ph_1992"	"AACY020281370"	0.899526105393513
"206"	"ph_201"	"AACY020281370"	0.882354909035807
"207"	"ph_237"	"AACY020281370"	0.882073031565739
"208"	"ph_25"	"AACY020281370"	0.932374119398165
"209"	"ph_368"	"AACY020281370"	0.88453549711839
"210"	"ph_4118"	"AACY020281370"	0.925866305334995
"211"	"ph_560"	"AACY020281370"	0.876199488926313
